BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE
SNDX;IMOEX;03.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2172,68;2157,18;2174,23;2157,18;12690309379;0;0;2;1,06E+13;RUB;4872878800;3;;03.01.2023
SNDX;IMOEX;04.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2168,42;2171,54;2179,56;2162,06;11510044721;0;0;2;1,06E+13;RUB;4872878800;3;;04.01.2023
SNDX;IMOEX;05.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2156,67;2170,4;2171,94;2154,16;9783315405;0;0;2;1,05E+13;RUB;4872878800;3;;05.01.2023
SNDX;IMOEX;06.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2156,39;2157,32;2160,08;2153,32;7622557638;0;0;2;1,05E+13;RUB;4872878800;3;;06.01.2023
SNDX;IMOEX;09.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2163,5;2163,43;2169,71;2162,01;18179113212;0;0;2;1,05E+13;RUB;4872878800;3;;09.01.2023
SNDX;IMOEX;10.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2159,51;2162,7;2162,92;2145,14;14600174654;0;0;2;1,05E+13;RUB;4872878800;3;;10.01.2023
SNDX;IMOEX;11.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2186,98;2156,28;2190,4;2153,55;35257346291;0;0;2;1,07E+13;RUB;4872878800;3;;11.01.2023
SNDX;IMOEX;12.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2185,93;2193,53;2194,8;2177,36;21456804414;0;0;2;1,07E+13;RUB;4872878800;3;;12.01.2023
SNDX;IMOEX;13.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2199,94;2188,6;2204,18;2179,82;27688238742;0;0;2;1,07E+13;RUB;4872878800;3;;13.01.2023
SNDX;IMOEX;16.01.2023;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2224,9;2204,64;2224,9;2204,46;27333518945;0;0;2;1,08E+13;RUB;4872878800;3;;16.01.2023
